FACILITYKE,BuildingNu,SHORTNAME,LONGNAME,Link,scanned_dr,page_name,site_plan_,latitude,longitude
351,351,,Building 351,https://drive.google.com/open?id=1QJYRck91SCsCCVrbuxfkcZdMjbeKxkvH,https://drawings.facilities.ucsb.edu/results.php?locnum=351,351-Building 351,https://drive.google.com/open?id=1DYDz3sv5NVGdm9UHywqH6-5ChwFrP2yJ,34.416542,-119.870153
352,352,,West Art 352 - Child Care,https://drive.google.com/open?id=1QLW6I_laqkNT32DE75C3YnY-ubQk6ABS,https://drawings.facilities.ucsb.edu/results.php?locnum=352,352-West Art 352 - Child Care,https://drive.google.com/open?id=1DmWW6rQgKYqvPprHnPhxTYY5Va5YwaZi,34.416136,-119.870212
353,353,,West Recreation Ath,https://drive.google.com/open?id=1QSLohkBDDkcD7Tbl2PUG58dMTIFayWKl,https://drawings.facilities.ucsb.edu/results.php?locnum=353,353-West Recreation Ath,https://drive.google.com/open?id=1DoTrypLY2NxdUEbbQeOXdW7pNDuhUbUu,34.415345,-119.870259
354,354,,West Creative 354,https://drive.google.com/open?id=1QTqZAskGyVwskz1EPO3OX8eFUblXxpI1,https://drawings.facilities.ucsb.edu/results.php?locnum=354,354-West Creative 354,https://drive.google.com/open?id=1E2sLAS-pehSOpG-MEl7qNAnByaBSLs7l,34.415069,-119.870269
355,355,,Orfalea Family Children's Center,https://drive.google.com/open?id=1QXmeZdrlWYHps67sE3RfoIxXtfiPxLB7,https://drawings.facilities.ucsb.edu/results.php?locnum=355,355-Orfalea Family Children's Center,https://drive.google.com/open?id=1Dv4uGcXErl9liJygGK5M6dFY5Fvwaovl,34.415265,-119.870864
356,356,,Rudy House Garage,https://drive.google.com/open?id=1QaUqP4Ow7Zh4JQPAWqrF4_fT8ftt3g6-,https://drawings.facilities.ucsb.edu/results.php?locnum=356,356-Rudy House Garage,https://drive.google.com/open?id=1DuWWKmiTkYm6TpohrkSxpfiakp9rpo-E,34.414736,-119.869828
357,357,,West Leisure Service Storage,https://drive.google.com/open?id=1QezfFNK7OwLPT_MKmwbTN1LuJMmuZViA,https://drawings.facilities.ucsb.edu/results.php?locnum=357,357-West Leisure Service Storage,https://drive.google.com/open?id=1E78r7kpPuxS3ADucZkfOPcfPBaice-iX,34.414505,-119.869974
358,358,,West Leisure Service Stable (Red Barn),https://drive.google.com/open?id=1Qht3FCeLwnivS94K2rcOMrK_fRZeTITf,https://drawings.facilities.ucsb.edu/results.php?locnum=358,358-West Leisure Service Stable (Red Barn),https://drive.google.com/open?id=1E989v2dawIzVNQsvP68YKG1yjHSQRnW4,34.414038,-119.869779
359,359,,West Storage 359,https://drive.google.com/open?id=1Qhw4i2PsTkQNEkH1IBNKuAK_x8cLPbCR,https://drawings.facilities.ucsb.edu/results.php?locnum=359,359-West Storage 359,https://drive.google.com/open?id=1EBFPOYDDDQ8LnmyhT8dfWt7Tm7gVzKpr,34.414758,-119.870005
360,360,,West Animal Compound,https://drive.google.com/open?id=1QiBbuaBEEs2-5n5xDhQlOmMPpMkbtN5R,https://drawings.facilities.ucsb.edu/results.php?locnum=360,360-West Animal Compound,https://drive.google.com/open?id=1EGQrqNSdHD4veIuHvyaFhxwEykJ3iBBp,34.414547,-119.870802
361,361,,West Creative 361,https://drive.google.com/open?id=1QlcRX-3vIH4QMttVBBwcx5MSb47wDZFo,https://drawings.facilities.ucsb.edu/results.php?locnum=361,361-West Creative 361,https://drive.google.com/open?id=1ECUr9ej4hduXN6NvoVicNiTnS6b_eCJO,34.407938,-119.877835
362,362,,West Cliff House,https://drive.google.com/open?id=1Qs8w7nkTp_d3sF-yla4gV58g_mu7WH12,https://drawings.facilities.ucsb.edu/results.php?locnum=362,362-West Cliff House,https://drive.google.com/open?id=1ECK-rNXXjNSyMFc0mDhxTuXWjvzQJRmt,34.407473,-119.878657
363,363,,Coil Oil Point Reserve Office,https://drive.google.com/open?id=1QsGHI6bPmXzk8JMCce0QL3794dtTKTJj,https://drawings.facilities.ucsb.edu/results.php?locnum=363,363-Coil Oil Point Reserve Office,https://drive.google.com/open?id=1ELvLMO51QVIKdBJ6uF3tk-hRokCP1B_d,34.407727,-119.87827
364,364,,Rudy House West Staff Residence,https://drive.google.com/open?id=1QsMTpO6Y2R_IbOC07NPEBb0FYXTsBbMQ,https://drawings.facilities.ucsb.edu/results.php?locnum=364,364-Rudy House West Staff Residence,https://drive.google.com/open?id=1EMHtsefTGwkQfezicnO87U1hWXPsVPwc,34.414628,-119.869734
366,366,,Coil Oil Point Reserve Staff Trailer,https://drive.google.com/open?id=1Qtx-OQy7uK8OWDuL2L_7elS6rTaklqm-,https://drawings.facilities.ucsb.edu/results.php?locnum=366,366-Coil Oil Point Reserve Staff Trailer,https://drive.google.com/open?id=1EZCAT8Ls5rpLtKNdlSqwogXsysR66lw0,34.40831,-119.878521
367,367,,West Storage 367,https://drive.google.com/open?id=1QyOOSVFOwt3rRR3Q0nt0ddWQetIsHtUn,https://drawings.facilities.ucsb.edu/results.php?locnum=367,367-West Storage 367,https://drive.google.com/open?id=1EP3pCnbsjZ7nnVmKkMDtRQtpORZZFx3b,34.414548,-119.87059
370,370,,Facilities Management Trailer 370,https://drive.google.com/open?id=1R3dBCsPyOB_okdxIGANznzarlfvJlQTz,https://drawings.facilities.ucsb.edu/results.php?locnum=370,370-Facilities Management Trailer 370,https://drive.google.com/open?id=1EZgP1r_SrDgE1LhEPW4716esB8FD-5w3,34.420149,-119.85255
371,371,,Facilities Management Trailer 371,https://drive.google.com/open?id=1R7FCkr_skhSzgnSsXTFkHdAHyWFrCf0a,https://drawings.facilities.ucsb.edu/results.php?locnum=371,371-Facilities Management Trailer 371,https://drive.google.com/open?id=1E_3F5lf4pThJvES0tqYOeGY9NcfP3Yt_,34.420367,-119.852913
372,372,,Chemistry Trailer 372,https://drive.google.com/open?id=1R8sztkSJz0_0GimPOmTIgd3yKKtu3D68,https://drawings.facilities.ucsb.edu/results.php?locnum=372,372-Chemistry Trailer 372,https://drive.google.com/open?id=1EcVrGok60lbP2pfZD91tY_ehxUS5To-S,34.415665,-119.842417
375,375,,Transportation Services,https://drive.google.com/open?id=1RIrt9fKSbtWgBVRxqnzn_-pDaaBwDF6p,https://drawings.facilities.ucsb.edu/results.php?locnum=375,375-Transportation Services,https://drive.google.com/open?id=1EcrvWGW7C77x0WWLP2xNBW7C3CpB2pp9,34.420773,-119.852166
376,376,,Police Trailer,https://drive.google.com/open?id=1RKNqE5xknvMkm3yjAw7WBtqGpK9mkNVP,https://drawings.facilities.ucsb.edu/results.php?locnum=376,376-Police Trailer,https://drive.google.com/open?id=1EyNLdhg1Bkh3IiW9xE3NrmEC53rPEnLM,34.422056,-119.852998
